institution,country,datasource,nPapers,nAuth,standardized name
"ETH, Inst Particle Phys & Astrophys IPA, Zurich, Switzerland",Switzerland,Both,15,55,ETH Zurich - ETHZ
"ETH, Neutron Scattering Lab, CH-5232 Villigen, Switzerland",Switzerland,Both,15,11,Paul Scherrer Institute - PSI
"Global Fund Fight AIDS TB & Malaria, Geneva, Switzerland",Switzerland,Both,15,12,"Global Fund Fight AIDS TB & Malaria, Geneva!"
"Paul Scherrer Inst, Lab Dev & Methods, CH-5232 Villigen, Switzerland",Switzerland,Both,15,13,Paul Scherrer Institute - PSI
"Swiss Fed Inst Forest Snow & Landscape Res WSL, Birmensdorf, Switzerland",Switzerland,Both,15,21,"Swiss Federal Institute of Forest, Snow and Landscape Research - WSL"
"Univ Geneva, Inst Environm Sci, Geneva, Switzerland",Switzerland,Both,15,19,University of Geneva - GE
"Univ Zurich, Dept Chem, Winterthurerstr 190, CH-8057 Zurich, Switzerland",Switzerland,Both,15,8,University of Zurich - ZH
"Univ Zurich, Dept Evolutionary Biol & Environm Studies, Zurich, Switzerland",Switzerland,Both,15,21,University of Zurich - ZH
"Affiliated with An International Laboratory Covered by A Cooperation Agreement with CERN, Switzerland",Switzerland,Scopus,14,32,CERN
"CERN, Dept Phys, CH-1211 Geneva 23, Switzerland",Switzerland,Both,14,21,CERN
"ETH Zurich, Zurich, Switzerland",Switzerland,Scopus,14,34,ETH Zurich - ETHZ
"ETH, Inst Theoret Phys, CH-8093 Zurich, Switzerland",Switzerland,Both,14,6,ETH Zurich - ETHZ
"Ecole Polytech Fed Lausanne EPFL, CH-1015 Lausanne, Switzerland",Switzerland,Both,14,5,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Inst Sci & Ingn Chim, CH-1015 Lausanne, Switzerland",Switzerland,Both,14,16,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Swiss Plasma Ctr, CH-1015 Lausanne, Switzerland",Switzerland,WoS,14,23,EPF Lausanne - EPFL
"Paul Scherrer Inst, Lab Micro & Nanotechnol, CH-5232 Villigen, Switzerland",Switzerland,Both,14,16,Paul Scherrer Institute - PSI
"Swiss Fed Res Inst WSL, Birmensdorf, Switzerland",Switzerland,Both,14,12,"Swiss Federal Institute for Forest, Snow and Landscape Research - WSL"
"Univ Bern, Dept Chem & Biochem, Freiestr 3, CH-3012 Bern, Switzerland",Switzerland,Both,14,24,University of Berne - BE
"Univ Fribourg, Dept Biol, Fribourg, Switzerland",Switzerland,Both,14,20,University of Fribourg - FR
"Univ Zurich, Dept Psychol, Zurich, Switzerland",Switzerland,Both,14,14,University of Zurich - ZH
"University of Zurich, Winterthurerstrasse 190, Zurich, 8057, Switzerland",Switzerland,Scopus,14,7,University of Zurich - ZH
"WHO, Dept Mental Hlth & Subst Abuse, CH-1211 Geneva, Switzerland",Switzerland,Both,14,11,WHO
"CERN, European Org Nucl Res, CH-1211 Geneva 23, Switzerland",Switzerland,Both,13,284,Paul Scherrer Institute - PSI
"ETH Zürich, Switzerland",Switzerland,Scopus,13,16,ETH Zurich - ETHZ
"ETH, Zurich, Switzerland",Switzerland,Both,13,40,ETH Zurich - ETHZ
"Ecole Polytech Fed Lausanne EPFL, Lab Astrophys, Observ Sauverny, CH-1290 Versoix, Switzerland",Switzerland,Both,13,7,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne EPFL, Observ Sauverny, Lab Astrophys, Inst Phys, CH-1290 Versoix, Switzerland",Switzerland,Both,13,15,EPF Lausanne - EPFL
"FIND, Geneva, Switzerland",Switzerland,Scopus,13,27,'Other Research Institutes - FINST'
"Fac Med, Geneva, Switzerland",Switzerland,Both,13,14,University of Geneva - GE
"Rhizen Pharmaceut SA, La Chaux De Fonds, Switzerland",Switzerland,WoS,13,7,"Rhizen Pharmaceuticals SA, La Chaux-de-Fonds, Switzerland!"
"Swiss Fed Inst Technol, Inst Atmospher & Climate Sci, Zurich, Switzerland",Switzerland,Both,13,18,ETH Zurich - ETHZ
"Univ Basel, Biozentrum, Basel, Switzerland",Switzerland,Both,13,14,University of Basel - BS
"Univ Geneva, Dept Astron, Chemin Ecogia 16, CH-1290 Versoix, Switzerland",Switzerland,Both,13,23,University of Geneva - GE
"Univ Geneva, Geneva, Switzerland",Switzerland,WoS,13,18,University of Geneva - GE
"Univ Neuchatel, Inst Phys, CH-2000 Neuchatel, Switzerland",Switzerland,Both,13,2,University of Neuchatel - NE
"Univ Zurich, Univ Hosp Zurich, Dept Rheumatol, Zurich, Switzerland",Switzerland,Both,13,1,University of Zurich - ZH
"WHO, CH-1211 Geneva, Switzerland",Switzerland,WoS,13,19,World Health Organization - WHO
"World Heart Federation, Geneva, Switzerland",Switzerland,Scopus,13,16,"World Heart Federation, Geneva, Switzerland!"
"CNB H 104.2, ETH Zurich, Zürich, Switzerland",Switzerland,Scopus,12,1,ETH Zurich - ETHZ
"Department of Rheumatology, University Hospital Zurich, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,12,3,University of Zurich - ZH
"Geneva University Hospitals, Geneva, Switzerland",Switzerland,Scopus,12,14,Unisanté
"Inst Mol & Clin Ophthalmol Basel, Basel, Switzerland",Switzerland,Both,12,1,Institute of Molecular and Clinical Ophthalmology Basel - IOB
"Novartis Pharma AG, CH-4002 Basel, Switzerland",Switzerland,Both,12,36,Companies/ Private Industry - FP
"Swiss Fed Inst Technol, Inst Integrat Biol, Zurich, Switzerland",Switzerland,Both,12,19,ETH Zurich - ETHZ
"Swiss Plasma Ctr, EPFL, CH-1015 Lausanne, Switzerland",Switzerland,Both,12,15,EPF Lausanne - EPFL
"Univ Fribourg, Dept Geosci, Fribourg, Switzerland",Switzerland,Both,12,10,University of Fribourg - FR
"Univ Hosp Basel, Basel, Switzerland",Switzerland,Both,12,19,Ente Ospedaliero Cantonale - EOC
"Univ Zurich, Dept Chem, CH-8057 Zurich, Switzerland",Switzerland,Both,12,15,University of Zurich - ZH
"Univ Zurich, Inst Phys, CH-8057 Zurich, Switzerland",Switzerland,Both,12,17,University of Zurich - ZH
"WHO, Alliance Hlth Policy & Syst Res, Geneva, Switzerland",Switzerland,Both,12,6,World Health Organization (WHO)
"WHO, Dept Maternal Newborn Child & Adolescent Hlth & A, Geneva, Switzerland",Switzerland,Both,12,15,"WHO, Dept Maternal Newborn Child & Adolescent Hlth & A, Geneva, Switzerland"
"WHO, Dept Mental Hlth & Subst Use, Geneva, Switzerland",Switzerland,Both,12,13,"WHO, Dept Mental Hlth & Subst Use, Geneva, Switzerland"
"Department of Public and Global Health, Epidemiology, Biostatistics and Prevention Institute, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,11,2,University of Zurich - ZH
"Département de Physique Nucléaire et Corpusculaire, Université de Genève, Genève, CH-1211, Switzerland",Switzerland,Scopus,11,6,University of Geneva - GE
"Ecole Polytech Fed Lausanne, SPC, CH-1015 Lausanne, Switzerland",Switzerland,WoS,11,45,EPF Lausanne - EPFL
"Institute of Social and Preventive Medicine, University of Bern, Bern, Switzerland",Switzerland,Scopus,11,14,University of Berne - BE
"Med Malaria Venture, CH-1215 Geneva, Switzerland",Switzerland,Both,11,19,---
"Merck Serono SA, CH-1202 Geneva, Switzerland",Switzerland,Both,11,28,Companies/ Private Industry - FP
"Swiss Tropical and Public Health Institute, Basel, Switzerland",Switzerland,Scopus,11,39,"Swiss Tropical and Public Health Institute - Swiss TPH, Basel, Switzerland"
"Univ Appl Sci & Arts Southern Switzerland, IDSIA USI SUPSI, CH-6928 Manno, Switzerland",Switzerland,Both,11,1,University of Applied Sciences and Arts of Southern Switzerland - SUPSI
"Univ Basel, CH-4056 Basel, Switzerland",Switzerland,Both,11,6,University of Basel - BS
"Univ Bern, Inst Geol Sci, CH-3012 Bern, Switzerland",Switzerland,Both,11,11,University of Berne - BE
"Univ Bern, Inst Phys, CH-3012 Bern, Switzerland",Switzerland,Both,11,9,University of Berne - BE
"Univ Geneva, Dept Phys Theor, 24 Quai Ernest Ansermet, CH-1211 Geneva 4, Switzerland",Switzerland,Both,11,14,University of Geneva - GE
"Univ Hosp Zurich, Dept Dermatol, Zurich, Switzerland",Switzerland,Both,11,7,University of Zurich - ZH
"Univ Lausanne, CH-1015 Lausanne, Switzerland",Switzerland,Both,11,10,University of Lausanne - LA
