institution,country,datasource,nPapers,nAuth,standardized name
"London School of Hygiene & Tropical Medicine and World Heart Federation, Geneva, Switzerland",Switzerland,Scopus,1,1,"World Heart Federation - WH (Geneva, Switzerland)"
"London School of Hygiene and Tropical Medicine, London, United Kingdom, Global Malaria Programme, World Health Organization, 20 Avenue Appia, Geneva 27, 1211, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"London School of Hygiene and Tropical Medicine, London, United Kingdom, World Heart Federation, Geneva, Switzerland",Switzerland,Scopus,1,1,"World Heart Federation, Geneva, Switzerland"
"Lorange Inst Business Zurich, Zurich, Switzerland",Switzerland,WoS,1,1,Lorange Institute of Business Zurich - Lorange Institute
"Luc Hoffmann Inst, Gland, Switzerland",Switzerland,Both,1,2,Other Research Institutes - FINST
"Luc Hoffmann Institute, WWF International, Gland, CH1196, Switzerland",Switzerland,Scopus,1,1,WWF International - WWF
"Luc Hofmann Inst, CH-1196 Gland, Switzerland",Switzerland,Both,1,1,Luc Hofmann Inst - LH!
"Lucerne Cantonal Hosp, Dept Neurol & Neurorehabil, Neuroctr, Luzern, Switzerland",Switzerland,Both,1,2,Luzerner Kantonsspital - LUKS
"Lucerne Cantonal Hosp, Dept Neurosurg, Luzern, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Lucerne Cantonal Hosp, Dept Urol, Luzern, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Lucerne Cantonal Hospital, Dpt of Intensive Care Medicine, Lucerne, Switzerland",Switzerland,Scopus,1,1,Luzerner Kantonsspital - LUKS
"Lucerne Sch Engn & Architecture Fluid Mech & Hydr, Luzern, Switzerland",Switzerland,Both,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne School of Engineering and Architecture, Lucerne University of Applied Sciences and Arts, Lucerne, Switzerland",Switzerland,Scopus,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne School of Engineering and Architecture, Lucerne University of Applied Sciences and Arts, Switzerland",Switzerland,Scopus,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne Univ Appl Sci & Arts, Fluid Mech & Hydro Machines, Luzern, Switzerland",Switzerland,WoS,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne Univ Appl Sci & Arts, Fluid Mech & Hydro Machines, Sch Engn & Architecture, Luzern, Switzerland",Switzerland,Both,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne Univ Appl Sci & Arts, Lucerne Sch Business, Luzern, Switzerland",Switzerland,Both,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne Univ Appl Sci & Arts, Lucerne Sch Engn & Architecture, Horw, Switzerland",Switzerland,Both,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne University of Applied Science and Arts, School of Engineering and Architecture, Switzerland",Switzerland,Scopus,1,1,Lucerne University of Applied Sciences and Arts - HSLU
"Lucerne, Switzerland",Switzerland,Scopus,1,1,University of Lucerne - LU
"Ludwig Institute for Cancer Research, 1015, Lausanne, Switzerland",Switzerland,Scopus,1,2,Ludwig Institute for Cancer Research - LICR
"Lugano Reg Hosp, Dept Surg, Lugano, Switzerland",Switzerland,Both,1,3,Ente Ospedaliero Cantonale - EOC
"Lugano Reg Hosp, Inst Imaging Southern Switzerland, Ticino Vasc Ctr, Dept Intervent Radiol, Lugano, Switzerland",Switzerland,Both,1,1,Ente Ospedaliero Cantonale - EOC
"Lugano Univ, Univ Hosp Geneva, Swiss Grp Clin Canc Res SAKK, Interdisciplinary Canc Serv Hosp Riviera Chablais, Lugano, Switzerland",Switzerland,Both,1,1,Università della Svizzera italiana - USI
"Lugano, ESMO, Switzerland",Switzerland,Scopus,1,1,ESMO!
"Lukas Bruckner, Consultant EDQM Nominated Expert, Switzerland",Switzerland,Scopus,1,1,EDQM (European Directorate for the Quality of Medicines & HealthCare)
"Lung Canc Europe, CH-3008 Bern, Switzerland",Switzerland,Both,1,1,---
"Lung Cancer Europe, Switzerland",Switzerland,Scopus,1,1,---
"Lupin Atlantis Holdings SA, Zug, Switzerland",Switzerland,Both,1,1,"Lupin Atlantis Holdings SA, Zug, Switzerland - Companies/ Private Industry - FP"
"Lupin Atlantis Holdings SA, Zug, Switzerland",Switzerland,WoS,1,1,Companies/ Private Industry - FP
"Luzern HNO Klin Kantonspital Luzerner, Luzern, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Luzern, Switzerland",Switzerland,Scopus,1,2,University of Lucerne - LU
"Luzerne General Hospital, Switzerland",Switzerland,Scopus,1,1,Luzerner Kantonsspital - LUKS
"Luzerner Kantons Spital, Dept Urol, Luzern, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Luzerner Kantonsspital, Dept Cardiol, Heart Ctr Lucerne, Luzern, Switzerland",Switzerland,WoS,1,1,Luzerner Kantonsspital - LUKS
"Luzerner Kantonsspital, Dept Nephrol, Luzern, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Luzerner Kantonsspital, Dept Radiol & Nucl Med, Luzern, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Luzerner Kantonsspital, Kinderspital, Luzern, Switzerland",Switzerland,Scopus,1,1,Luzerner Kantonsspital - LUKS
"Luzerner Kantonsspital, Lucerne, Switzerland",Switzerland,Scopus,1,3,Luzerner Kantonsspital - LUKS
"Luzerner Kantonsspital, Neurol Dept, Luzern, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Lyondell Basell, Switzerland",Switzerland,Scopus,1,1,Companies/ Private Industry - FP
"MAP Kinase Resource, Bern, Switzerland",Switzerland,Scopus,1,6,"MAP Kinase Resource, Bern, Switzerland!"
"MAP Kinase Resource, Bioinformat, Melchiorstr 9, CH-3027 Bern, Switzerland",Switzerland,Both,1,1,---
"MAP Kinase Resource, Bioinformatics, Melchiorstrasse 9, Bern, CH-3027, Switzerland",Switzerland,Scopus,1,1,MAP Kinase Resource!
"MAP Kinase Resource, CH-3027 Bern, Switzerland",Switzerland,Both,1,4,MAP Kinase Resource!
"MCA/MRD, World Health Organization, Avenue Appia 20, Geneva 27, CH-1211, Switzerland",Switzerland,Scopus,1,3,World Health Organization
"MELEXIS Technol SA, Bevaix, Switzerland",Switzerland,WoS,1,1,Swiss Center for Electronics and Microtech. - CSEM
"MESA Imaging, 8005 Zurich, Switzerland",Switzerland,Scopus,1,1,---
"METAS Fed Off Metrol, Bern, Switzerland",Switzerland,WoS,1,2,Swiss Federal Institute of Metrology - METAS
"MIAC AG, Basel, Switzerland",Switzerland,Scopus,1,1,MIAC AG!
"MIAC AG, Basel, Switzerland",Switzerland,WoS,1,1,"MIAC AG, Basel, Switzerland!"
"MIOS SA Med Surg Retina & Ocular Inflammat, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"MIOS Sa Med Surg Retina & Ocular Inflammat, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"MIOS, Ophthalmol, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"MIOS, Retina & Inflammat, Lausanne, Switzerland",Switzerland,Both,1,1,"MIOS, Retina & Inflammat, Lausanne(!), Switzerland"
"MMGH Consulting GmbH, CH-8049 Zurich, Switzerland",Switzerland,Both,1,2,Companies/ Private Industry - FP
"MMGH Consulting GmbH, Zurich, Switzerland",Switzerland,Both,1,2,Companies/ Private Industry - FP
"MMGH Consulting, Kuerbergstr 1, CH-8049 Zurich, Switzerland",Switzerland,WoS,1,1,"MMGH Consulting, Zurich!"
"MMGH Consulting, Zurich, Switzerland",Switzerland,WoS,1,2,Companies/ Private Industry - FP
"MMV Med Malaria Venture ICC, CH-1215 Geneva, Switzerland",Switzerland,Both,1,2,MMV Med Malaria Venture ICC!
"MMV Med Malaria Venture, ICC, Route Prebois 20, CH-1215 Geneva, Switzerland",Switzerland,Both,1,3,MMV Med Malaria Venture!
"MMV Medicines for Malaria Venture, ICC, Route de Pré-Bois 20, Geneva, 1215, Switzerland",Switzerland,Scopus,1,2,Medicines for Malaria Venture - MMV
"MMV, CH-1215 Meyrin, Switzerland",Switzerland,WoS,1,1,Paul Scherrer Institute - PSI
"MMV, Geneva, Switzerland",Switzerland,WoS,1,3,"MMV, Geneva, Switzerland! (No exact match found in the reference list)"
"MMV, POB 1826,20 Route Pre Bois, CH-121515 Geneva, Switzerland",Switzerland,Both,1,1,Graduate Institute of International and Development Studies - IHEID
"MS Center, Research Center for Clinical Neuroimmunology and Neuroscience Basel (RC2NB), Department of Head, Spine and Neuromedicine, Biomedical and Clinical Research, University Hospital Basel, University of Basel, Basel, Switzerland",Switzerland,Scopus,1,1,University of Basel - BS
"MS Ctr, Basel, Switzerland",Switzerland,WoS,1,1,University of Basel - BS
"MSD Med Affairs, Luzern, Switzerland",Switzerland,Both,1,1,"MSD (Merck Sharp & Dohme) Med Affairs, Luzern, Switzerland!"
"MSD, Switzerland",Switzerland,Scopus,1,1,Companies/ Private Industry - FP
"Mac-Iver 541, Switzerland",Switzerland,Scopus,1,1,---
"Macula Center Graubunden, Davos and Triemli Spital, Zurich, Switzerland",Switzerland,Scopus,1,1,"Triemli Spital, Zurich - LUKS"
"Macula Ctr Grischun, Bahnhof Str 4, CH-7000 Chur, Switzerland",Switzerland,Both,1,1,Macula Ctr Graubünden - FHGR!
"Madda Walabu Univ, Sch Hlth Sci, Bale Goba, Switzerland",Switzerland,Both,1,1,"""Madda Walabu University - Bale Goba!"""
"Madrid Consulting, Cham, CH-6330, Switzerland",Switzerland,Scopus,1,1,Companies/ Private Industry - FP
"Mageba SA, Bulach, Switzerland",Switzerland,Scopus,1,1,---
"Malaria Vaccines, Swiss Tropical and Public Health Institute, Basel, Switzerland",Switzerland,Scopus,1,1,Swiss Tropical and Public Health Institute - STI
"Management Screening Diag & Treatment Unit, Geneva, Switzerland",Switzerland,Both,1,2,Unisanté
"Management of Substance Abuse Unit, Department of Mental Health and Substance Abuse, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"Manchester Fungal Infection Group, Faculty of Biology, Medicine and Health, Manchester Academic Health Science Centre, University of Manchester, Manchester, United Kingdom, Global Action for Fungal Infections, Geneva, Switzerland",Switzerland,Scopus,1,1,University of Manchester - UNIM!
"Manchester Fungal Infection Group, The University of Manchester, Manchester, United Kingdom, Global Action Fund for Fungal Infections, Geneva, Switzerland",Switzerland,Scopus,1,1,University of Manchester - Manchester
"Mansourian Consulting, Gingins, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Mansourian Org, 36 Mt Eau Milieu, CH-1276 Gingins, Switzerland",Switzerland,Both,1,1,---
"Martel (CH), Switzerland",Switzerland,Scopus,1,1,---
"Materials Theory, ETH Zurich, Wolfgang-Pauli-Strasse 27, Zurich, CH 8093, Switzerland",Switzerland,Scopus,1,4,ETH Zurich - ETHZ
"Maternal, Newborn, Child and Adolescent Health Department, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"Maternal, Newborn, Child and Adolescent Health and Ageing Department, WHO, Geneva, Switzerland",Switzerland,Scopus,1,2,WHO
"Maternite HUG, Serv Obstet, Geneva, Switzerland",Switzerland,Both,1,1,University of Geneva - GE
"Max Zeller & Sohne AG, Romanshorn, Switzerland",Switzerland,WoS,1,2,Companies/ Private Industry - FP
"Maximon AG, Zug, Switzerland",Switzerland,Both,1,1,"Maximon AG, Zug, Switzerland!"
"Mechanics & Materials Laboratory, Department of Mechanical and Process Engineering, ETH Zürich, Zürich, 8092, Switzerland",Switzerland,Scopus,1,4,ETH Zurich - ETHZ
"Mechanics & Materials Laboratory, ETH Zürich, Switzerland",Switzerland,Scopus,1,3,ETH Zurich - ETHZ
"Mechanistic Safety, Global Drug Development, Basel, Novartis, Switzerland",Switzerland,Scopus,1,1,Novartis
"Med Ctr Prodorso, Dept Rheumatol, Zurich, Switzerland",Switzerland,WoS,1,1,Ente Ospedaliero Cantonale - EOC
"Med Hlth Ctr Frauenfeld, Frauenfeld, Switzerland",Switzerland,Both,1,1,Luzerner Kantonsspital - LUKS
"Med Malaria Venture, 20 Route Pre Bois, CH-1215 Geneva, Switzerland",Switzerland,Both,1,3,---
"Med Malaria Venture, 20 Route Prebois, CH-1215 Geneva 15, Switzerland",Switzerland,Both,1,1,Med Malaria Venture!
"Med Malaria Venture, CH-1211 Geneva 15, Switzerland",Switzerland,Both,1,2,---
"Med Malaria Venture, CH-1215 Geneva 15, Switzerland",Switzerland,WoS,1,1,Unisanté
"Med Malaria Venture, CH-1215 Geneva, Switzerland",Switzerland,WoS,1,2,---
"Med Malaria Venture, Clin Dev, Geneva, Switzerland",Switzerland,Both,1,1,"Med Malaria Venture, Clin Dev, Geneva, Switzerland!"
"Med Malaria Venture, ICC Block G,3rd floor,20 Route Pre-Bois,POB 1826, CH-1215 Geneva, Switzerland",Switzerland,Both,1,5,Medicines for Malaria Venture - MMV
"Med Malaria Venture, ICC,Route Pre Bois 20, CH-1215 Geneva, Switzerland",Switzerland,Both,1,2,Med Malaria Venture - MMV!
"Med Malaria Venture, Int Ctr Cointrin, CH-1215 Geneva 15, Switzerland",Switzerland,Both,1,1,Med Malaria Venture!
"Med Malaria Venture, Int Ctr Cointrin, CH-1215 Geneva, Switzerland",Switzerland,Both,1,2,Med Malaria Venture!
"Med Malaria Venture, POB 1826,20 Rte Prebois, CH-1215 Geneva 15, Switzerland",Switzerland,Both,1,3,Medicines for Malaria Venture (MMV)!
"Med Malaria Venture, Route Prebois 20, CH-1215 Geneva, Switzerland",Switzerland,Both,1,1,"Med Malaria Venture(!), Geneva, Switzerland"
"Med Malaria Ventures Discovery, CH-1215 Geneva, Switzerland",Switzerland,Both,1,1,Med Malaria Ventures Discovery!
"Med Mundi Int Network, Basel, Switzerland",Switzerland,WoS,1,1,"Med Mundi Int Network, Basel, Switzerland!"
"Med Patent Pool, Geneva, Switzerland",Switzerland,WoS,1,1,"Med Patent Pool, Geneva, Switzerland!"
"Med Patent Pool, Policy, CH-1202 Geneva, Switzerland",Switzerland,Both,1,1,---
"Med Patent Pool, Policy, Geneva, Switzerland",Switzerland,Both,1,5,Graduate Institute of International and Development Studies - IHEID
"Med Pathol, Bern, Switzerland",Switzerland,Both,1,1,University of Berne - BE
"Med Plant Specialist Grp, Int Union Conservat Nat Species Survival Commiss I, CH-1196 Gland, Switzerland",Switzerland,Both,1,2,International Union for Conservation of Nature - IUCN
"Med Sans Frontieres Access Campaign, Geneva, Switzerland",Switzerland,Both,1,1,"Med Sans Frontieres Access Campaign, Geneva, Switzerland!"
"Med Sans Frontieres Int, CH-1211 Geneva, Switzerland",Switzerland,Both,1,1,Médecins Sans Frontières International (MSF Int)!
"Med Sans Frontieres MSF Women & Childrens Hlth Un, Dept Med, Operat Ctr Geneva, Geneva, Switzerland",Switzerland,WoS,1,1,Médecins Sans Frontières - MSF
"Med Sans Frontieres Operat Ctr Amsterdam, Geneva, Switzerland",Switzerland,WoS,1,1,---
"Med Sans Frontieres, Geneva, Switzerland",Switzerland,WoS,1,1,Médecins Sans Frontières - MSF
"Med Sans Frontieres, Pharmacovigilance Unit, Geneva, Switzerland",Switzerland,Both,1,2,Médecins Sans Frontières!
"Med Sans Frontieres, Rue Lausanne 78, CH-1202 Geneva, Switzerland",Switzerland,Both,1,1,Médecins Sans Frontières (MSF)!
"Med Tropicale Suivi Integre Addict & Malad Transm, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Med Univ Vienna, Div Oncol, Dept Med 1, Waehringer Guertel 18-20, CH-1090 Bern, Switzerland",Switzerland,Both,1,1,University of Vienna - MUV!
"Medair, Ecublens, Switzerland",Switzerland,WoS,1,1,Medair!
"Medecins Sans Frontieres Int Pediat Working Grp, Geneva, Switzerland",Switzerland,WoS,1,1,"Medecins Sans Frontieres Int Pediat Working Grp, Geneva, Switzerland!"
"Medecins Sans Frontieres Int, Geneva, Switzerland",Switzerland,Both,1,1,"Medecins Sans Frontieres Int, Geneva, Switzerland!"
"Medecins Sans Frontieres, Access Campaign, Geneva, Switzerland",Switzerland,Both,1,1,"Medecins Sans Frontieres, Access Campaign - MSF"
"Medecins Sans Frontieres, Geneva, Switzerland",Switzerland,Both,1,3,"Médecins Sans Frontières - MSF, Geneva, Switzerland"
"Medecins Sans Frontieres, Geneva, Switzerland",Switzerland,WoS,1,1,"Médecins Sans Frontières, Geneva, Switzerland!"
"Medical Affairs, AstraZeneca, Baar, Switzerland",Switzerland,Scopus,1,1,Companies/ Private Industry - FP
"Medical Faculty, University of Basel, Basel, 4031, Switzerland",Switzerland,Scopus,1,3,University of Basel - BS
"Medical Faculty, University of Geneva, Switzerland",Switzerland,Scopus,1,1,University of Geneva - GE
"Medical Genetics, Institute for Medical Genetics and Pathology, University Hospital Basel, Switzerland",Switzerland,Scopus,1,1,University Hospital Basel - BS
"Medical Health Centre Frauenfeld, Frauenfeld, Switzerland",Switzerland,Scopus,1,1,Medical Health Centre Frauenfeld!
"Medical ICU, University Hospital Basel, Switzerland",Switzerland,Scopus,1,1,University Hospital Basel - BS
"Medical Microbiology, Switzerland",Switzerland,Scopus,1,1,---
"Medical Sciences, International Olympic Committee, Lausanne, Switzerland",Switzerland,Scopus,1,1,International Olympic Committee - IOC
"Medical and Scientific Department - Games Group, International Olympic Committee, Lausanne, Switzerland",Switzerland,Scopus,1,1,International Olympic Committee
"Medical and Scientific Department, CH, Lausanne, Switzerland",Switzerland,Scopus,1,1,Unisanté
"Medicine Sans Frontieres, OCG, Geneva, Switzerland",Switzerland,Scopus,1,1,"Médecins Sans Frontières (OCG), Geneva, Switzerland"
"Medicines for Malaria Venture (MMV), Geneva, Switzerland",Switzerland,Scopus,1,1,"Medicines for Malaria Venture (MMV), Geneva, Switzerland"
"Medicines for Malaria Venture, Geneva, 1215, Switzerland",Switzerland,Scopus,1,2,---
"Medicines for Malaria Venture, International Center Cointrin, 1215 Geneva 15, 20 Route de Pré-Bois, Switzerland",Switzerland,Scopus,1,1,Medicines for Malaria Venture - MMV
"Medicines for Malaria Venture, International Centre Cointrin, Geneva, Switzerland",Switzerland,Scopus,1,3,Medicines for Malaria Venture
"Medics Pathologie, Bern, Switzerland",Switzerland,Scopus,1,1,Ente Ospedaliero Cantonale - EOC
"Medicus Mundi Int Network, Basel, Switzerland",Switzerland,Both,1,1,Medicus Mundi Int Network - MMI!
"Medicxi Ventures, 10 Cours Rive, CH-1204 Geneva, Switzerland",Switzerland,Both,1,1,Medicxi Ventures!
"Medicxi Ventures, Geneva, Switzerland",Switzerland,WoS,1,1,"Medicxi Ventures, Geneva, Switzerland!"
"Medigenome, Swiss Institute of Genomic Medicine, Geneva, 1207, Switzerland",Switzerland,Scopus,1,3,"Swiss Institute of Genomic Medicine, Geneva - SIGM!"
"Medtron Int Trading Sarl, Route Molliau 31, CH-1131 Tolochenaz, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Member of 'Cuore Matto' and Global ARCH, Zumikon, Switzerland",Switzerland,Scopus,1,1,"Global ARCH, Zumikon, Switzerland"
"Memory Clinic, LANVIE Laboratory of Neuroimaging of Aging, University Hospitals, University of Geneva, Geneva, Switzerland",Switzerland,Scopus,1,1,University of Geneva - GE
"Memory Clinic, University Department of Geriatric Medicine, Felix Platter-Hospital, Basel, Switzerland",Switzerland,Scopus,1,1,"Felix Platter-Hospital, Basel - FPH!"
"Memory Clinic, University Hospitals, University of Geneva, Geneva, Switzerland",Switzerland,Scopus,1,1,University of Geneva - GE
"MentAge, Basel, Switzerland",Switzerland,Both,1,2,"MentAge, Basel, Switzerland!"
"Merck Pharmaceut, Aubonne, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Merck Serono SA Geneva, CH-1202 Geneva, Switzerland",Switzerland,Both,1,4,Companies/ Private Industry - FP
"Merck Serono, CH-1211 Geneva, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Metabolomics Platform, Faculty of Biology and Medicine, University of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,1,2,University of Lausanne - LA
"MeteoSwiss, Fed Off Meteorol & Climatol, CH-1530 Payerne, Switzerland",Switzerland,Both,1,2,MeteoSwiss
"MeteoSwiss, Fed Off Meteorol & Climatol, Chemin Aerol, CH-1530 Payerne, Switzerland",Switzerland,WoS,1,1,"MeteoSwiss, Fed Off Meteorol & Climatol, Chemin Aerol, CH-1530 Payerne, Switzerland

---"
"MeteoSwiss, Fed Off Meteorol & Climatol, Zurich, Switzerland",Switzerland,Both,1,1,"MeteoSwiss - Fed Off Meteorol & Climatol, Zurich (!)"
"Meteodat GmbH, CH-8005 Zurich, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Meteodat GmbH, Technoparkstr 1, CH-8005 Zurich, Switzerland",Switzerland,Both,1,3,Meteodat GmbH!
"Methods and Standards Unit, Science Division, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,"World Health Organization - WHO, Geneva, Switzerland"
"Mibelle Grp Biochem, CH-5033 Buchs, Switzerland",Switzerland,Both,1,2,Companies/ Private Industry - FP
"Micro and Nano-system, Swiss Fed. Institute of Technology, CLA H1, 8092 Zurich, Tannenstrasse 3, Switzerland",Switzerland,Scopus,1,1,ETH Zurich - ETHZ
"MicroBioS GmbH, Reinach, Switzerland",Switzerland,WoS,1,1,"MicroBioS GmbH, Reinach, Switzerland!"
"MicroGauge AG, Zurich, Switzerland",Switzerland,WoS,1,1,Companies/ Private Industry - FP
"MicroInvas Ocular Surg Clin, Av Leman 32, CH-1005 Lausanne, Switzerland",Switzerland,Both,1,1,MicroInvas Ocular Surg Clin!
"MicroInvas Ocular Surg Ctr, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"MicroInvasive Ocular Surgery Clinic, Lausanne, Switzerland",Switzerland,Scopus,1,1,Unisanté
"Microbes In Water GmbH, Feldmeilen, Switzerland",Switzerland,Both,1,1,Other Research Institutes - FINST!
"Microbiology Unit, Department of Plant Sciences, University of Geneva, Geneva, Switzerland",Switzerland,Scopus,1,2,University of Geneva - GE
"Microelectronic Syst Lab, Ecublens, Switzerland",Switzerland,Both,1,2,Swiss Center for Electronics and Microtech. - CSEM
"Microinvas Ocular Surg Clin, Retina & Inflammat Unit, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Microsystems Laboratory, Institute of Microengineering, Ecole Polytechnique Fédérale de Lausanne, Lausanne, 1015, Switzerland",Switzerland,Scopus,1,2,EPF Lausanne - EPFL
"Midwifery Leadership Consultant, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"Migration Health South Asia Network (MiHSA), United Kingdom, Migration Health Division, The United Nations Migration Agency (IOM), Switzerland",Switzerland,Scopus,1,1,The United Nations Migration Agency (IOM)
"MindEarth, Biel, Switzerland",Switzerland,Both,1,1,"MindEarth Biel - Biel/Bienne, Switzerland!"
"MindMaze SA, Chemin Roseneck 5, CH-1006 Lausanne, Switzerland",Switzerland,WoS,1,1,MindMaze SA!
"Minist Hlth, NRL, Mbabane, Switzerland",Switzerland,WoS,1,1,---
"Mirum Pharmaceut AG, Global Clin Dev, Basel, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Mittmann Pharma Consulting, Basel, Switzerland",Switzerland,Scopus,1,1,Companies/ Private Industry - FP
"Mobile Communications Lab, Department of Communication Systems, EPFL, CH-1015, Lausanne, Switzerland",Switzerland,Scopus,1,1,EPF Lausanne - EPFL
"Mol Partners AG, Wagistr 14, CH-8952 Zurich, Switzerland",Switzerland,Both,1,1,Mol Partners AG!
"Mol Partners AG, Zurich, Schlieren, Switzerland",Switzerland,Both,1,6,"Mol Partners AG, Zurich, Switzerland!"
"Mol Partners AG, Zurich, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Mol Partners AG, Zurich, Switzerland",Switzerland,WoS,1,6,Companies/ Private Industry - FP
"Molecular Approaches to Renewable Energies, Department of Chemistry, University of Zurich, Zurich, 8057, Switzerland",Switzerland,Scopus,1,1,University of Zurich - ZH
"Molecular Modeling Group, Swiss Institute of Bioinformatics, Lausanne, 1015, Switzerland",Switzerland,Scopus,1,2,Swiss Institute of Bioinformatics - SIB
"Molecular Partners AG, Wagistrasse 14, Schlieren, 8952, Switzerland",Switzerland,Scopus,1,1,Companies/ Private Industry - FP
"Monarch Business School, Hagendorn, Switzerland",Switzerland,Scopus,1,1,Franklin University Switzerland - FUS
"Monarch Business School, Zug, Switzerland",Switzerland,Scopus,1,1,Franklin University Switzerland - FUS
"Monitoring & Evaluat Unit, Geneva, Switzerland",Switzerland,Both,1,1,---
"Montchoisi Clin, Glaucoma Res Ctr, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Montchoisi Clin, Glaucoma Res Ctr, Swiss Vis Network, CH-1006 Lausanne, Switzerland",Switzerland,Both,1,5,"Montchoisi Clin, Glaucoma Res Ctr, Swiss Vis Network, CH-1006 Lausanne, Switzerland"
"Montchoisi Clin, Glaucoma Res Ctr, Swiss Vis Network, Ch Allinges 16, CH-1006 Lausanne, Switzerland",Switzerland,Both,1,6,Unisanté
"Montchoisi Clin, Glaucoma Res Ctr, Swiss Visio, Lausanne, Switzerland",Switzerland,Both,1,2,Unisanté
"Montchoisi Clin, Swiss Vis Network, Glaucoma Ctr, Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Montchoisi Clin, Swiss Vis Network, Glaucoma Res Ctr, Lausanne, Switzerland",Switzerland,Both,1,3,Unisanté
"Montchoisi Clin, Swiss Vis Network, Glaucoma Res Ctr, Lausanne, Switzerland",Switzerland,WoS,1,3,Unisanté
"Montchoisi Clin, Swiss Visio Glaucoma Res Ctr, Ave Servan 38, CH-1006 Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Montchoisi Hosp, Glaucoma Res Ctr, Lausanne, Switzerland",Switzerland,Both,1,2,Unisanté
"Montreux, Switzerland",Switzerland,Scopus,1,1,---
"Moorfields Eye Hospital NHS Foundation Trust, London, United Kingdom, Department of Ophthalmology, Institute of Clinical Neurosciences of Southern Switzerland (INSI), Ente Ospedaliero Cantonale (EOC), Lugano, Switzerland",Switzerland,Scopus,1,1,Ente Ospedaliero Cantonale - EOC
"Muenchwilen AG, Syngenta Crop Protect, CH-4332 Stein, Switzerland",Switzerland,WoS,1,1,Companies/ Private Industry - FP
"Muenchwilen AG, Syngenta Crop Protect, Schaffhauestr, CH-4332 Stein, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Muenchwilen AG, Syngenta Crop Protect, Schaffhauserstr, CH-4332 Stein, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Munchwilen AG, Syngenta Crop Protect, CH-4332 Stein, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Munchwilen AG, Syngenta, Canton Of Aargau, Switzerland",Switzerland,Both,1,1,Biotechnology Institute Thurgau - BITG
"Musee Cantonal Zool, Lausanne, Switzerland",Switzerland,WoS,1,1,"Musée Cantonal Zool, Lausanne - LA"
"Musee Cantonal Zool, Pl Riponne 6, CH-1014 Lausanne, Switzerland",Switzerland,Both,1,1,---
"Museum Cantonal Sci Naturelles, Dept Zool, Palais Rumine, Pl Riponne 6, CH-1005 Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Museum Hist Nat, Dept Herpetol & Ichthyol, CH-1208 Geneva, Switzerland",Switzerland,Both,1,1,---
"Museum Hist Nat, Geneva, Switzerland",Switzerland,Both,1,6,"Museum Hist Nat, Geneva, Switzerland!"
"Museum Hist Nat, Geneva, Switzerland",Switzerland,WoS,1,1,"Museum Hist Nat, Geneva, Switzerland!"
